"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","203086","0","0","0","0","0","0","203086","190834","0","0","0","0","0","0","190834","393920"
"1","207218","0","0","0","0","0","0","207218","197034","0","0","0","0","0","0","197034","404252"
"2","211696","0","0","0","0","0","0","211696","199551","0","0","0","0","0","0","199551","411247"
"3","219719","0","0","0","0","0","0","219719","208732","0","0","0","0","0","0","208732","428451"
"4","230081","0","0","0","0","0","0","230081","217293","0","0","0","0","0","0","217293","447374"
"5","240388","0","0","0","0","0","0","240388","226752","0","0","0","0","0","0","226752","467140"
"6","247005","0","0","0","0","0","0","247005","234312","0","0","0","0","0","0","234312","481317"
"7","253577","0","0","0","0","0","0","253577","239574","0","0","0","0","0","0","239574","493151"
"8","261164","0","0","0","0","0","0","261164","246566","0","0","0","0","0","0","246566","507730"
"9","264925","0","0","0","0","0","0","264925","250184","0","0","0","0","0","0","250184","515109"
"10","276385","0","0","0","0","0","0","276385","260983","0","0","0","0","0","0","260983","537368"
"11","281120","0","0","0","0","0","0","281120","265099","0","0","0","0","0","0","265099","546219"
"12","289714","0","0","0","0","0","0","289714","272242","0","0","0","0","0","0","272242","561956"
"13","294025","0","0","0","0","0","0","294025","276869","0","0","0","0","0","0","276869","570894"
"14","297185","0","0","0","0","0","0","297185","280786","0","0","0","0","0","0","280786","577971"
"15","297394","0","0","0","0","0","0","297394","279486","0","0","0","0","0","0","279486","576880"
"16","298832","9","3","1","0","0","0","298845","279533","11","3","0","0","0","0","279547","578392"
"17","298631","5","2","3","0","0","0","298641","277682","15","4","0","0","0","0","277701","576342"
"18","304160","26","6","1","0","0","0","304193","281986","156","4","0","0","0","0","282146","586339"
"19","299975","65","8","3","1","0","0","300052","276343","750","7","0","3","0","0","277103","577155"
"20","297897","208","4","3","4","0","0","298116","273927","1714","17","5","3","0","0","275666","573782"
"21","302367","525","103","2","7","0","0","303004","275161","3575","97","2","9","0","0","278844","581848"
"22","310607","1096","123","4","16","1","0","311847","277197","6508","143","3","22","1","0","283874","595721"
"23","308009","2200","171","7","25","0","0","310412","270360","9771","219","18","27","4","0","280399","590811"
"24","310542","3860","252","4","44","2","0","314704","266450","14717","250","18","41","2","0","281478","596182"
"25","304378","6325","232","11","57","4","1","311008","261370","21195","295","14","60","6","0","282940","593948"
"26","300477","10049","293","9","79","4","0","310911","255049","29169","480","47","90","11","0","284846","595757"
"27","292600","15605","315","12","124","3","1","308660","244588","39840","696","50","118","10","0","285302","593962"
"28","287079","22257","447","19","154","7","0","309963","236142","53184","979","96","141","13","0","290555","600518"
"29","280825","32099","595","28","190","9","0","313746","227947","68088","1364","103","224","13","0","297739","611485"
"30","280726","44982","816","31","221","11","1","326788","221822","87123","1831","175","228","19","1","311199","637987"
"31","264514","58240","1070","180","275","7","1","324287","205183","103356","2483","331","279","13","1","311646","635933"
"32","255869","73389","1478","178","331","22","1","331268","193411","120164","3346","421","311","23","2","317678","648946"
"33","238026","87488","1859","222","363","13","2","327973","178935","135498","4217","491","345","28","0","319514","647487"
"34","229036","104348","2454","244","427","16","3","336528","167988","152907","5236","672","414","23","2","327242","663770"
"35","209452","116062","2929","229","439","21","1","329133","152412","162412","6127","755","436","25","0","322167","651300"
"36","196369","128845","3819","307","466","25","4","329835","141463","173157","8156","1212","393","18","2","324401","654236"
"37","190454","143003","4733","284","465","18","3","338960","136844","187041","9599","1412","413","26","1","335336","674296"
"38","181878","157313","5451","374","399","14","2","345431","130770","198272","10928","1542","395","25","1","341933","687364"
"39","174536","169611","6489","396","489","19","2","351542","125164","208329","12258","1772","386","16","0","347925","699467"
"40","169821","184486","7557","427","483","23","1","362798","122019","222019","13988","2222","397","22","1","360668","723466"
"41","161521","191818","8951","961","481","20","3","363755","115969","228596","15791","2977","377","21","1","363732","727487"
"42","158064","204594","10140","1045","462","18","3","374326","111568","238249","17806","3357","339","21","2","371342","745668"
"43","154406","215486","11767","1159","557","21","3","383399","109951","250881","19900","3903","347","22","0","385004","768403"
"44","157195","231331","13563","1274","487","13","6","403869","111236","265662","22983","4439","335","16","0","404671","808540"
"45","154821","243293","15420","1321","565","22","3","415445","109760","278615","25374","5032","379","10","1","419171","834616"
"46","154349","258907","17824","1526","541","12","5","433164","108865","293775","27865","6227","324","15","1","437072","870236"
"47","154345","275921","20295","1803","646","9","7","453026","108628","310380","31567","7075","371","11","1","458033","911059"
"48","153217","291974","22682","1987","676","15","7","470558","107531","326133","34045","8226","367","16","4","476322","946880"
"49","143250","295886","24533","2171","601","12","5","466458","102078","327430","35894","8960","353","13","0","474728","941186"
"50","136482","305391","26071","2542","595","16","6","471103","96454","333389","37911","10063","305","7","3","478132","949235"
"51","129289","312628","28023","2655","621","13","8","473237","91731","340698","39599","12125","302","14","2","484471","957708"
"52","119954","316155","28900","2926","617","9","10","468571","85886","338929","41103","13416","277","9","1","479621","948192"
"53","114890","329441","31485","3362","601","10","5","479794","83675","350873","42617","15234","247","7","1","492654","972448"
"54","107228","331700","31488","3836","632","17","7","474908","78750","349675","43037","17255","243","11","3","488974","963882"
"55","100303","336731","32912","4274","591","9","12","474832","75552","353186","43748","19103","250","6","4","491849","966681"
"56","94874","344823","34108","5265","629","10","7","479716","71700","357371","43664","21473","198","6","1","494413","974129"
"57","87485","348479","34913","5582","617","5","8","477089","68183","356803","43859","24060","207","7","5","493124","970213"
"58","81883","357278","35418","6428","550","6","10","481573","65048","362696","44365","27429","197","7","6","499748","981321"
"59","70782","336934","32757","6765","530","8","11","447787","58137","342500","40892","28758","178","3","2","470470","918257"
"60","63161","327618","31313","7171","480","6","9","429758","53541","330700","38137","32058","148","3","4","454591","884349"
"61","57803","322367","29484","8147","465","3","10","418279","49503","323317","36384","35978","149","2","4","445337","863616"
"62","51988","314754","27601","8762","401","4","13","403523","45669","311039","34351","39375","143","4","3","430584","834107"
"63","47603","307693","26065","9435","372","4","10","391182","42755","301549","31885","42288","115","2","3","418597","809779"
"64","42905","293321","23602","9983","357","6","6","370180","38889","286351","29647","45260","104","2","6","400259","770439"
"65","39736","290597","22604","10672","314","4","4","363931","36879","281261","27875","49317","112","1","1","395446","759377"
"66","35723","285428","20817","12019","268","2","12","354269","33605","272641","25933","53988","76","0","5","386248","740517"
"67","32917","279512","19203","12770","249","6","5","344662","31696","264257","24117","58108","70","2","2","378252","722914"
"68","30270","273719","17713","14001","222","3","6","335934","29559","256399","22698","62904","61","4","3","371628","707562"
"69","27428","260854","15866","14612","187","0","8","318955","27233","239064","20537","65302","50","0","1","352187","671142"
"70","25535","253374","14598","15472","202","3","4","309188","25888","231297","19032","70042","60","1","3","346323","655511"
"71","23907","250482","13426","16604","177","2","9","304607","24150","225159","17843","76152","52","1","4","343361","647968"
"72","23068","256548","12919","18730","157","3","9","311434","24324","226286","17511","85589","49","1","4","353764","665198"
"73","21489","254668","11915","20460","142","2","15","308691","23324","219342","16156","94289","32","0","0","353143","661834"
"74","21232","259895","11179","23142","145","1","6","315600","23699","220010","15721","106599","38","1","1","366069","681669"
"75","19321","248371","10229","24424","123","2","6","302476","22271","203676","14473","113575","26","0","2","354023","656499"
"76","18180","239987","9250","26614","120","1","5","294157","21294","193271","13637","122483","25","0","1","350711","644868"
"77","13040","177869","6478","22096","76","0","3","219562","16798","138763","9638","102108","16","0","1","267324","486886"
"78","13022","175979","6043","23854","68","0","6","218972","16746","133232","8991","112665","18","1","2","271655","490627"
"79","12314","168515","5158","25409","68","2","2","211468","16889","124893","8408","120389","7","1","0","270587","482055"
"80","11918","158333","4812","26608","79","0","4","201754","16411","112916","7803","126453","13","0","1","263597","465351"
"81","11362","150018","4244","28201","65","1","1","193892","16384","102897","6988","133597","8","0","3","259877","453769"
"82","11494","153616","4047","32550","41","0","4","201752","17331","99897","6741","153850","11","1","1","277832","479584"
"83","10210","140957","3295","32880","33","0","4","187379","16446","86019","5833","155292","7","0","2","263599","450978"
"84","8716","123769","2852","32540","27","0","2","167906","15420","71280","5059","153876","1","0","0","245636","413542"
"85","7347","102122","2203","30661","23","0","1","142357","13893","54479","4053","143523","3","0","0","215951","358308"
"86","5968","83018","1646","28471","15","0","0","119118","12507","41502","3374","133515","2","0","0","190900","310018"
"87","5417","73081","1412","28189","15","0","1","108115","11965","33785","2877","132323","0","1","1","180952","289067"
"88","4596","59152","1092","26130","19","0","0","90989","10922","25118","2315","122487","2","0","0","160844","251833"
"89","3577","46996","800","23447","10","0","1","74831","9793","18379","1926","110320","1","0","0","140419","215250"
"90","2871","35706","562","20613","4","0","0","59756","8679","13314","1508","98272","0","0","0","121773","181529"
"91","2267","27878","401","18301","7","0","1","48855","7786","9418","1234","86479","1","0","1","104919","153774"
"92","1878","21052","344","16050","6","0","2","39332","7041","6739","1075","77977","0","0","0","92832","132164"
"93","1278","13849","208","12129","0","0","0","27464","5560","4041","733","59922","1","0","0","70257","97721"
"94","924","9186","157","9305","2","0","0","19574","4504","2678","543","47293","1","0","1","55020","74594"
"95","641","6013","92","7205","1","0","0","13952","3476","1661","416","36946","1","0","0","42500","56452"
"96","428","3484","50","5218","0","0","0","9180","2629","990","283","27550","0","0","0","31452","40632"
"97","282","2055","36","3506","0","0","0","5879","2015","615","211","19700","0","0","0","22541","28420"
"98","196","1205","29","2569","1","0","0","4000","1478","399","141","13818","0","0","0","15836","19836"
"99","140","737","16","1635","0","0","0","2528","998","283","85","9509","0","0","0","10875","13403"
"100 e oltre","266","906","24","2258","0","0","0","3454","1675","466","145","14705","0","0","0","16991","20445"
"Totale","13808498","13345550","866244","772704","20999","519","318","28814832","11878370","13474195","1221064","3596349","11734","548","109","30182369","58997201"